date,description,amount,manual_category,gst_rate,gst_amount
2021-04-01,Printer Paper,-4802.77,Office Supplies,12,514.58
2021-04-01,Product Sales,211998.96,Revenue,18,32338.82
2021-04-01,Adobe Creative Cloud,-682.68,Software,18,104.14
2021-04-01,Repairs & Maintenance,-2802.26,Other,12,300.24
2021-04-01,Service Contract Q2,282032.87,Revenue,18,43021.96
2021-04-02,Microsoft 365,-5609.34,Software,18,855.66
2021-04-03,Flight to Mumbai,-14437.06,Travel,5,687.48
2021-04-05,Office Rent,-59000.0,Rent,18,9000.0
2021-04-05,Adobe Creative Cloud,-1135.93,Software,18,173.28
2021-04-05,Monitor Screen,-65206.71,Hardware,18,9946.79
2021-04-05,Adobe Creative Cloud,-1154.58,Software,18,176.12
2021-04-06,Microsoft 365,-4110.25,Software,18,626.99
2021-04-07,Online Store Sales,143533.54,Revenue,18,21894.95
2021-04-07,Accounting Audit,-660.9,Professional Services,18,100.81
2021-04-07,Adobe Creative Cloud,-5329.08,Software,18,812.91
2021-04-08,Printer Paper,-953.15,Office Supplies,12,102.12
2021-04-08,Zoom Pro License,-2488.29,Software,18,379.57
2021-04-08,New Laptop (Dell),-92042.31,Hardware,18,14040.35
2021-04-09,Train Tickets,-2489.03,Travel,5,118.53
2021-04-10,Monthly Internet & Phone,-5784.984591006946,Utilities,18,882.4552765942799
2021-04-10,Ad Revenue,86692.81,Revenue,18,13224.33
2021-04-10,Accounting Audit,-4670.37,Professional Services,18,712.43
2021-04-11,Monitor Screen,-89187.62,Hardware,18,13604.89
2021-04-11,Accounting Audit,-2512.63,Professional Services,18,383.28
2021-04-11,Print Media Ad,-20826.52,Marketing,18,3176.93
2021-04-11,Marketing Agency Fees,-1924.09,Professional Services,18,293.51
2021-04-13,LinkedIn Promo,-11535.18,Marketing,18,1759.6
2021-04-14,Google Ads Campaign,-1553.76,Marketing,18,237.01
2021-04-15,Printer Paper,-5220.28,Office Supplies,18,796.31
2021-04-16,HR Consultant,-3745.59,Professional Services,18,571.36
2021-04-16,Uber/Ola Rides,-14355.53,Travel,18,2189.83
2021-04-16,Ad Revenue,209912.81,Revenue,18,32020.6
2021-04-17,Train Tickets,-1861.4,Travel,5,88.64
2021-04-18,Facebook Ads,-8052.14,Marketing,18,1228.29
2021-04-19,Printer Paper,-4107.5,Office Supplies,12,440.09
2021-04-19,Hotel Stay - Client Visit,-5755.13,Travel,12,616.62
2021-04-19,Microsoft 365,-4826.72,Software,18,736.28
2021-04-20,Train Tickets,-13660.25,Travel,18,2083.77
2021-04-20,New Laptop (Dell),-11258.06,Hardware,18,1717.33
2021-04-20,Product Sales,93025.7,Revenue,18,14190.36
2021-04-20,Facebook Ads,-11801.64,Marketing,18,1800.25
2021-04-20,Service Contract Q2,107870.22,Revenue,18,16454.78
2021-04-21,SaaS Subscription (Jira),-800.61,Software,18,122.13
2021-04-21,Whiteboard Markers,-1879.01,Office Supplies,12,201.32
2021-04-22,Legal Consultation,-4900.61,Professional Services,18,747.55
2021-04-22,Zoom Pro License,-2091.26,Software,18,319.01
2021-04-22,Server Rack Equipment,-38243.71,Hardware,18,5833.79
2021-04-24,Coffee for Pantry,-1778.6,Other,12,190.56
2021-04-24,LinkedIn Promo,-10650.37,Marketing,18,1624.63
2021-04-25,Cleaning Services,-4015.09,Other,5,191.19
2021-04-25,Hotel Stay - Client Visit,-13900.58,Travel,12,1489.35
2021-04-25,Marketing Agency Fees,-2499.93,Professional Services,18,381.35
2021-04-26,Legal Consultation,-2820.56,Professional Services,18,430.26
2021-04-26,Monitor Screen,-73775.94,Hardware,18,11253.96
2021-04-26,Uber/Ola Rides,-9146.38,Travel,18,1395.21
2021-04-26,Client Payment - Project A,207764.74,Revenue,18,31692.93
2021-04-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-04-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-04-28,Adobe Creative Cloud,-1539.69,Software,18,234.87
2021-04-28,Hotel Stay - Client Visit,-14355.19,Travel,12,1538.06
2021-04-28,Server Rack Equipment,-47017.52,Hardware,18,7172.16
2021-04-29,Uber/Ola Rides,-10230.11,Travel,18,1560.53
2021-05-01,Desk Organizers,-2543.49,Office Supplies,12,272.52
2021-05-01,New Laptop (Dell),-69725.68,Hardware,18,10636.12
2021-05-02,Coffee for Pantry,-4449.31,Other,5,211.87
2021-05-02,Whiteboard Markers,-309.91,Office Supplies,12,33.2
2021-05-03,Print Media Ad,-18657.78,Marketing,18,2846.1
2021-05-05,Office Rent,-59000.0,Rent,18,9000.0
2021-05-05,Google Ads Campaign,-6508.63,Marketing,18,992.84
2021-05-06,Repairs & Maintenance,-932.17,Other,18,142.2
2021-05-07,Server Rack Equipment,-30940.47,Hardware,18,4719.73
2021-05-08,Flight to Mumbai,-15367.78,Travel,5,731.8
2021-05-08,Repairs & Maintenance,-4759.92,Other,5,226.66
2021-05-09,Accounting Audit,-2489.21,Professional Services,18,379.71
2021-05-09,Server Rack Equipment,-65564.9,Hardware,18,10001.43
2021-05-09,Flight to Mumbai,-11616.83,Travel,12,1244.66
2021-05-09,Staples Order,-1543.86,Office Supplies,12,165.41
2021-05-10,Monthly Internet & Phone,-3541.266165685553,Utilities,18,540.1931439181352
2021-05-10,Cleaning Services,-4003.06,Other,5,190.62
2021-05-10,Microsoft 365,-4373.14,Software,18,667.09
2021-05-10,Online Store Sales,94471.42,Revenue,18,14410.89
2021-05-10,Desk Organizers,-4253.62,Office Supplies,18,648.86
2021-05-12,Print Media Ad,-14308.76,Marketing,18,2182.69
2021-05-12,HR Consultant,-4344.95,Professional Services,18,662.79
2021-05-13,Server Rack Equipment,-64811.41,Hardware,18,9886.49
2021-05-14,Desk Organizers,-2753.8,Office Supplies,12,295.05
2021-05-14,Google Ads Campaign,-4418.88,Marketing,18,674.07
2021-05-15,Service Contract Q2,242095.24,Revenue,18,36929.78
2021-05-15,Print Media Ad,-14405.12,Marketing,18,2197.39
2021-05-15,Online Store Sales,303271.04,Revenue,18,46261.68
2021-05-16,Zoom Pro License,-642.39,Software,18,97.99
2021-05-16,Legal Consultation,-3358.83,Professional Services,18,512.36
2021-05-16,Repairs & Maintenance,-3605.76,Other,18,550.03
2021-05-17,Train Tickets,-791.57,Travel,18,120.75
2021-05-18,Cleaning Services,-2172.9,Other,5,103.47
2021-05-20,Whiteboard Markers,-1763.08,Office Supplies,18,268.94
2021-05-20,Cleaning Services,-1084.52,Other,18,165.44
2021-05-20,Marketing Agency Fees,-2733.84,Professional Services,18,417.03
2021-05-21,Facebook Ads,-15570.81,Marketing,18,2375.21
2021-05-22,LinkedIn Promo,-1356.99,Marketing,18,207.0
