date,description,amount
2025-07-01,Tech Corp Salary Input,5000.0
2025-07-01,Whole Foods,-101.48314462619618
2025-07-01,Public Transit,-34.17343792777416
2025-07-02,Spotify,-10.99
2025-07-02,Netflix,-15.99
2025-07-05,Uber Eats,-37.6690078870468
2025-07-05,Luxury Apartments Rent,-1500.0
2025-07-05,McDonalds,-24.41595499907391
2025-07-07,Trader Joes,-72.76127931229287
2025-07-07,Local Cafe,-33.33224493437308
2025-07-09,Local Cafe,-53.235157954940085
2025-07-09,Safeway,-66.83607273102956
2025-07-10,Cinema,-22.051964073338446
2025-07-10,Whole Foods,-78.5849847947693
2025-07-11,Public Transit,-33.989043109482374
2025-07-12,Cinema,-19.55510178922729
2025-07-12,Public Transit,-33.46987402754656
2025-07-13,Fancy Dinner Place,-44.93941981077861
2025-07-14,Uber Eats,-35.10550258965325
2025-07-14,Safeway,-55.43707243730557
2025-07-15,City Utility Bill,-168.1129003793817
2025-07-15,Gym Membership,-124.3586000252082
2025-07-15,Local Cafe,-15.415135612773586
2025-07-15,Costco,-117.7993718040219
2025-07-16,Online Store,-199.78943267251395
2025-07-16,Uber Eats,-44.287527318364894
2025-07-16,McDonalds,-50.83739438746862
2025-07-17,Target,-46.29222235863509
2025-07-17,Parking,-18.364158244604997
2025-07-17,Chipotle,-16.75819657257456
2025-07-19,Target,-21.39072926506345
2025-07-20,Whole Foods,-111.46575895701122
2025-07-22,Netflix,-36.898394051630135
2025-07-23,Clothing Store,-24.10112103733273
2025-07-24,Uber Eats,-47.86692014262546
2025-07-24,Spotify,-45.107422098012194
2025-07-25,Cinema,-47.06255795422131
2025-07-27,Parking,-39.101099762812495
2025-07-28,Shell Gas Station,-31.36703550260873
2025-07-30,Netflix,-48.12581991175521
2025-08-01,Tech Corp Salary Input,5000.0
2025-08-01,Lyft,-38.75876491398816
2025-08-02,Fancy Dinner Place,-49.24934936865866
2025-08-02,Safeway,-73.32181263200266
2025-08-03,Trader Joes,-81.76516698351868
2025-08-04,Fancy Dinner Place,-49.16061506617116
2025-08-05,Luxury Apartments Rent,-1500.0
2025-08-05,Online Store,-24.82179435413524
2025-08-08,Trader Joes,-119.30894182117547
2025-08-08,Lyft,-23.58992607940295
2025-08-10,Costco,-82.0250772845933
2025-08-10,Uber,-25.672347567117033
2025-08-12,McDonalds,-57.28779669191604
2025-08-13,Chipotle,-18.927870592701392
2025-08-13,Steam Games,-41.65955892804901
2025-08-14,Target,-204.0596193252611
2025-08-14,Fancy Dinner Place,-32.035861536020164
2025-08-14,Uber Eats,-34.40121150146078
2025-08-15,City Utility Bill,-148.98370989217054
2025-08-16,Health Insurance,-123.73786011099408
2025-08-17,Public Transit,-35.48855659883128
2025-08-19,Spotify,-20.545938369058344
2025-08-20,Spotify,-10.99
2025-08-20,Amazon,-55.31044288532586
2025-08-20,Netflix,-15.99
2025-08-20,Online Store,-45.98108184072173
2025-08-23,Local Cafe,-28.052081236366938
2025-08-24,Whole Foods,-98.58113065919167
2025-08-24,Uber Eats,-19.823426909391898
2025-08-25,Cinema,-48.977612226795564
2025-08-26,Trader Joes,-55.14529379216199
2025-08-26,Best Buy,-244.61730985742412
2025-08-26,Spotify,-16.991308709019105
2025-08-27,Starbucks,-58.8455261298014
2025-08-28,Online Store,-42.22352311592866
2025-08-28,Fancy Dinner Place,-30.393261115178767
2025-08-28,Parking,-30.917159830132164
2025-08-28,Uber Eats,-23.882978410191384
2025-09-01,Online Store,-201.07577741553052
2025-09-01,Tech Corp Salary Input,5000.0
2025-09-02,Lyft,-21.51298563973453
2025-09-03,Amazon,-43.61264312677565
2025-09-03,Trader Joes,-70.91416835082211
2025-09-04,Whole Foods,-83.82082048907543
2025-09-05,Luxury Apartments Rent,-1500.0
2025-09-06,Starbucks,-41.61648096854575
2025-09-07,Public Transit,-30.824431846149498
2025-09-08,Uber Eats,-33.315572775515705
2025-09-08,McDonalds,-26.12242854082312
2025-09-08,Starbucks,-37.444647345495966
2025-09-09,McDonalds,-52.538224147176216
2025-09-09,Safeway,-94.75179802261808
2025-09-10,Netflix,-15.99
2025-09-10,Spotify,-10.99
2025-09-11,Costco,-55.12567104474112
2025-09-12,Local Cafe,-24.53690153166126
2025-09-12,Whole Foods,-60.41560456495124
2025-09-13,Uber,-17.334239215313048
2025-09-13,Costco,-115.52458163091931
2025-09-14,Fancy Dinner Place,-34.94878980792349
2025-09-14,Fancy Dinner Place,-31.01520220778103
2025-09-15,Starbucks,-27.331889235290397
2025-09-15,Local Cafe,-44.80502710195812
2025-09-15,City Utility Bill,-147.6180780896652
2025-09-16,Uber Eats,-42.415689596201474
2025-09-17,Safeway,-104.88087556935349
2025-09-18,Uber,-11.617396274361926
