date,description,amount,manual_category,gst_rate,gst_amount
2021-04-01,Coffee for Pantry,-5733.31,Other,18,874.57
2021-04-01,AWS Cloud Bill,-4680.76,Software,18,714.01
2021-04-02,Service Contract Q2,159979.7,Revenue,18,24403.68
2021-04-02,Facebook Ads,-21469.54,Marketing,18,3275.02
2021-04-02,Product Sales,263053.54,Revenue,18,40126.81
2021-04-03,Server Rack Equipment,-17394.49,Hardware,18,2653.4
2021-04-03,SaaS Subscription (Jira),-2526.24,Software,18,385.36
2021-04-03,Print Media Ad,-21009.15,Marketing,18,3204.79
2021-04-03,Client Payment - Project A,94028.58,Revenue,18,14343.34
2021-04-03,Cleaning Services,-3530.22,Other,12,378.24
2021-04-04,Zoom Pro License,-3039.78,Software,18,463.7
2021-04-04,Google Ads Campaign,-4630.05,Marketing,18,706.28
2021-04-04,LinkedIn Promo,-2214.93,Marketing,18,337.87
2021-04-05,Office Rent,-59000.0,Rent,18,9000.0
2021-04-05,LinkedIn Promo,-5928.66,Marketing,18,904.37
2021-04-05,Hotel Stay - Client Visit,-657.76,Travel,18,100.34
2021-04-05,Monitor Screen,-39276.19,Hardware,18,5991.28
2021-04-05,Diwali Gifts,-4426.36,Other,5,210.78
2021-04-06,Train Tickets,-6296.66,Travel,5,299.84
2021-04-09,Legal Consultation,-3876.64,Professional Services,18,591.35
2021-04-09,Service Contract Q2,329232.73,Revenue,18,50221.94
2021-04-09,New Laptop (Dell),-60739.47,Hardware,18,9265.34
2021-04-10,Monthly Internet & Phone,-5177.438266216522,Utilities,18,789.7787185754016
2021-04-11,Zoom Pro License,-2546.51,Software,18,388.45
2021-04-12,Diwali Gifts,-3858.86,Other,5,183.76
2021-04-13,Marketing Agency Fees,-3410.33,Professional Services,18,520.22
2021-04-13,Microsoft 365,-4121.96,Software,18,628.77
2021-04-13,SaaS Subscription (Jira),-3787.75,Software,18,577.79
2021-04-13,Monitor Screen,-50620.73,Hardware,18,7721.81
2021-04-14,Facebook Ads,-2813.66,Marketing,18,429.2
2021-04-14,Consulting Fees,265135.85,Revenue,18,40444.45
2021-04-15,Hotel Stay - Client Visit,-13147.15,Travel,12,1408.62
2021-04-15,Mouse & Keyboards,-29059.47,Hardware,18,4432.8
2021-04-15,Repairs & Maintenance,-921.15,Other,18,140.51
2021-04-18,Consulting Fees,252438.44,Revenue,18,38507.56
2021-04-19,Coffee for Pantry,-5594.76,Other,12,599.44
2021-04-19,Zoom Pro License,-5091.72,Software,18,776.7
2021-04-21,HR Consultant,-1349.25,Professional Services,18,205.82
2021-04-22,Accounting Audit,-158.86,Professional Services,18,24.23
2021-04-23,Coffee for Pantry,-725.31,Other,12,77.71
2021-04-23,Facebook Ads,-19077.97,Marketing,18,2910.2
2021-04-25,Accounting Audit,-3470.97,Professional Services,18,529.47
2021-04-26,Train Tickets,-8213.99,Travel,12,880.07
2021-04-26,Monitor Screen,-77745.29,Hardware,18,11859.45
2021-04-27,Hotel Stay - Client Visit,-15734.39,Travel,12,1685.83
2021-04-28,Monthly Asset Depreciation,-15000.0,Depreciation,0,0.0
2021-04-28,Bank Loan Interest,-8000.0,Interest,0,0.0
2021-04-28,Cleaning Services,-1968.62,Other,12,210.92
2021-04-30,Marketing Agency Fees,-2551.41,Professional Services,18,389.2
2021-05-01,Adobe Creative Cloud,-4002.35,Software,18,610.53
2021-05-01,Accounting Audit,-3757.9,Professional Services,18,573.24
2021-05-01,Google Ads Campaign,-5366.27,Marketing,18,818.58
2021-05-02,Service Contract Q2,325509.91,Revenue,18,49654.05
2021-05-02,Uber/Ola Rides,-2279.3,Travel,12,244.21
2021-05-02,SaaS Subscription (Jira),-5620.88,Software,18,857.42
2021-05-03,Cleaning Services,-3768.57,Other,12,403.77
2021-05-04,Monitor Screen,-70716.15,Hardware,18,10787.21
2021-05-04,Google Ads Campaign,-21414.34,Marketing,18,3266.59
2021-05-05,Office Rent,-59000.0,Rent,18,9000.0
2021-05-06,Google Ads Campaign,-12652.69,Marketing,18,1930.07
2021-05-06,Client Payment - Project A,336372.29,Revenue,18,51311.03
2021-05-08,Repairs & Maintenance,-1869.31,Other,5,89.01
2021-05-09,New Laptop (Dell),-82351.83,Hardware,18,12562.14
2021-05-10,Monthly Internet & Phone,-8589.829737934042,Utilities,18,1310.3130108712946
2021-05-10,LinkedIn Promo,-14631.14,Marketing,18,2231.87
2021-05-10,Marketing Agency Fees,-5397.02,Professional Services,18,823.27
2021-05-10,Mouse & Keyboards,-81884.7,Hardware,18,12490.89
2021-05-11,Product Sales,283173.73,Revenue,18,43195.99
2021-05-11,Client Payment - Project A,275132.24,Revenue,18,41969.32
2021-05-12,Microsoft 365,-3873.54,Software,18,590.88
2021-05-12,Microsoft 365,-961.26,Software,18,146.63
2021-05-15,Ad Revenue,313355.47,Revenue,18,47799.99
2021-05-15,Cleaning Services,-2468.03,Other,5,117.53
2021-05-15,Staples Order,-5591.9,Office Supplies,18,853.0
2021-05-16,SaaS Subscription (Jira),-5497.18,Software,18,838.55
2021-05-16,SaaS Subscription (Jira),-725.22,Software,18,110.63
2021-05-17,Train Tickets,-12334.75,Travel,18,1881.57
2021-05-18,AWS Cloud Bill,-4590.11,Software,18,700.19
2021-05-18,Whiteboard Markers,-2394.38,Office Supplies,18,365.24
2021-05-21,Product Sales,102837.19,Revenue,18,15687.03
2021-05-23,Whiteboard Markers,-4414.2,Office Supplies,18,673.35
