date,description,amount
2025-07-01,Tech Corp Salary Input,4500.0
2025-07-02,Whole Foods,-66.7
2025-07-03,Amazon,-55.89
2025-07-05,Luxury Apartments Rent,-1500.0
2025-07-05,Luxury Apartments Rent,-1500.0
2025-07-06,Spotify,-51.94
2025-07-07,Amazon,-251.41
2025-07-11,Trader Joes,-39.68
2025-07-13,Parking,-31.53
2025-07-14,Parking,-48.23
2025-07-15,City Utility Bill,-130.59588234138386
2025-07-15,Safeway,-77.06
2025-07-17,Best Buy,-61.87
2025-07-18,Costco,-135.13
2025-07-21,Costco,-152.46
2025-07-22,Local Market,-154.94
2025-07-23,Public Transit,-30.78
2025-07-25,Uber,-36.04
2025-07-26,Shell Gas Station,-42.86
2025-07-28,Spotify,-6.82
2025-07-30,Costco,-79.23
2025-07-31,Best Buy,-140.17
2025-08-01,Tech Corp Salary Input,4500.0
2025-08-01,Cinema,-50.59
2025-08-02,Shell Gas Station,-18.94
2025-08-03,Online Store,-235.1
2025-08-04,Shell Gas Station,-20.54
2025-08-05,Luxury Apartments Rent,-1500.0
2025-08-05,Public Transit,-13.61
2025-08-06,Fancy Dinner Place,-14.36
2025-08-07,Local Market,-192.17
2025-08-08,Online Store,-109.48
2025-08-11,Costco,-109.97
2025-08-14,Fancy Dinner Place,-59.75
2025-08-15,City Utility Bill,-74.06698098484253
2025-08-17,Shell Gas Station,-32.38
2025-08-18,Uber,-29.58
2025-08-20,Cinema,-55.17
2025-08-21,Uber Eats,-31.74
2025-08-22,Online Store,-188.81
2025-08-23,Netflix,-12.01
2025-08-24,Online Store,-229.33
2025-08-25,McDonalds,-71.3
2025-08-26,Concert Ticket,-46.45
2025-08-28,Public Transit,-39.05
2025-08-30,Lyft,-21.59
2025-09-01,Tech Corp Salary Input,4500.0
2025-09-01,Local Market,-159.26
2025-09-02,Luxury Watch Store,-5000.0
2025-09-05,Luxury Apartments Rent,-1500.0
2025-09-06,Spotify,-32.47
2025-09-07,Costco,-168.03
2025-09-09,Parking,-20.72
2025-09-10,McDonalds,-15.5
2025-09-13,Costco,-96.9
2025-09-14,Clothing Store,-291.39
2025-09-15,City Utility Bill,-89.02567935724318
2025-09-15,Amazon,-50.79
2025-09-16,Parking,-10.71
2025-09-17,Fancy Dinner Place,-56.11
2025-09-20,Spotify,-15.57
2025-09-22,Trader Joes,-170.78
2025-09-23,Starbucks,-74.72
2025-09-24,Online Store,-227.59
2025-09-25,Trader Joes,-90.32
2025-09-27,Online Store,-141.41
2025-09-28,Safeway,-190.58
2025-09-30,Starbucks,-49.89
2025-10-01,Tech Corp Salary Input,4500.0
2025-10-01,Safeway,-94.3
2025-10-03,Uber,-25.47
2025-10-04,Uber Eats,-54.57
2025-10-05,Luxury Apartments Rent,-1500.0
2025-10-05,Steam Games,-20.77
2025-10-08,Parking,-22.33
2025-10-09,Local Cafe,-36.41
2025-10-10,Public Transit,-42.95
2025-10-11,Steam Games,-22.44
2025-10-13,Online Store,-104.09
2025-10-15,City Utility Bill,-149.9418406000209
2025-10-16,Shell Gas Station,-34.17
2025-10-17,Local Market,-112.9
2025-10-18,Parking,-28.06
2025-10-19,Costco,-159.52
2025-10-20,Public Transit,-16.45
2025-10-21,Public Transit,-17.26
2025-10-24,Cinema,-33.76
2025-10-25,Trader Joes,-77.72
2025-10-26,Parking,-36.46
2025-11-01,Tech Corp Salary Input,4500.0
2025-11-04,Lyft,-48.07
2025-11-05,Luxury Apartments Rent,-1500.0
2025-11-05,Uber,-21.55
